01:24:58 START 6 batches, 134 plants, model=qwen/qwen3.8-27b, notink=True, maxtok=8000
01:24:58 batch 01: resynced state from jsonl (5 done)
01:24:58 batch 01: 24 items, 5 done, 19 todo
01:28:03 batch 01 [6/24] Delosperma hirtum: OK 185s id=delosperma_hirtum
01:31:04 batch 01 [7/24] Delosperma lydenbergense: OK 181s id=delosperma_lydenbergense
01:34:27 batch 01 [8/24] Delosperma nubigenum: OK 203s id=delosperma_nubigenum
01:37:56 batch 01 [9/24] Delosperma pageanum: OK 209s id=delosperma_pageanum
01:41:36 batch 01 [10/24] Delosperma pergamentaceum: OK 219s id=delosperma_pergamentaceum
01:44:44 batch 01 [11/24] Delosperma tradescantioides: OK 188s id=delosperma_tradescantioides
01:58:18 batch 01 [12/24] Prestonia amazonica: OK 814s id=prestonia_amazonica
02:05:54 batch 01 [13/24] Voacanga africana: OK 455s id=voacanga_africana
02:08:27 batch 01 [14/24] Erythroxylum pungens: OK 153s id=erythroxylum_pungens
02:11:39 batch 01 [15/24] Acaciella angustissima: OK 192s id=acaciella_angustissima
02:14:51 batch 01 [16/24] Vachellia aroma: OK 193s id=vachellia_aroma
02:18:14 batch 01 [17/24] Acacia auriculiformis: OK 203s id=acacia_auriculiformis
02:22:48 batch 01 [18/24] Acacia baileyana: OK 274s id=acacia_baileyana
02:27:10 batch 01 [19/24] Acacia beauverdiana: OK 262s id=acacia_beauverdiana
02:30:31 batch 01 [20/24] Senegalia berlandieri: OK 201s id=senegalia_berlandieri
02:34:09 batch 01 [21/24] Vachellia caven: OK 218s id=vachellia_caven
02:37:09 batch 01 [22/24] Acacia colei: OK 180s id=acacia_colei
02:39:40 batch 01 [23/24] Acacia complanata: OK 151s id=acacia_complanata
02:42:23 batch 01 [24/24] Acacia confusa: OK 164s id=acacia_confusa
02:42:23 batch 01: COMPLETE 24 -> out_01.js
02:42:23 batch 03: 24 items, 0 done, 24 todo
02:44:22 batch 03 [1/24] Acacia penninervis: OK 119s id=acacia_penninervis
02:46:48 batch 03 [2/24] Acacia phlebophylla: OK 146s id=acacia_phlebophylla
02:49:39 batch 03 [3/24] Acacia podalyriifolia: OK 170s id=acacia_podalyriifolia
02:52:32 batch 03 [4/24] Senegalia polyacantha: OK 174s id=senegalia_polyacantha
02:55:24 batch 03 [5/24] Senegalia rigidula: OK 172s id=senegalia_rigidula
02:57:43 batch 03 [6/24] Acacia sassa: OK 139s id=acacia_sassa
03:00:33 batch 03 [7/24] Vachellia schaffneri: OK 170s id=vachellia_schaffneri
03:03:32 batch 03 [8/24] Senegalia senegal: OK 179s id=senegalia_senegal
03:07:00 batch 03 [9/24] Vachellia seyal: OK 208s id=vachellia_seyal
03:09:57 batch 03 [10/24] Vachellia sieberiana: OK 176s id=vachellia_sieberiana
03:12:12 batch 03 [11/24] Acacia simplex: OK 135s id=acacia_simplex
03:15:11 batch 03 [12/24] Vachellia tortilis: OK 180s id=vachellia_tortilis
03:17:22 batch 03 [13/24] Acacia vestita: OK 131s id=acacia_vestita
03:20:17 batch 03 [14/24] Acacia victoriae: OK 175s id=acacia_victoriae
03:22:48 batch 03 [15/24] Acacia dealbata: OK 151s id=acacia_dealbata
03:25:59 batch 03 [16/24] Acacia mearnsii: OK 190s id=acacia_mearnsii
03:28:27 batch 03 [17/24] Acacia drummondii: OK 148s id=acacia_drummondii
03:30:57 batch 03 [18/24] Acacia elata: OK 151s id=acacia_elata
03:33:31 batch 03 [19/24] Acacia leprosa: OK 154s id=acacia_leprosa
03:35:58 batch 03 [20/24] Acacia linearis: OK 147s id=acacia_linearis
03:38:55 batch 03 [21/24] Acacia pycnantha: OK 177s id=acacia_pycnantha
03:41:29 batch 03 [22/24] Acacia retinodes: OK 154s id=acacia_retinodes
03:44:13 batch 03 [23/24] Acacia saligna: OK 164s id=acacia_saligna
03:46:19 batch 03 [24/24] Acacia stricta: OK 126s id=acacia_stricta
03:46:19 batch 03: COMPLETE 24 -> out_03.js
03:46:19 batch 05: 24 items, 0 done, 24 todo
03:49:04 batch 05 [1/24] Iryanthera macrophylla: OK 165s id=iryanthera_macrophylla
03:52:09 batch 05 [2/24] Iryanthera ulei: OK 185s id=iryanthera_ulei
03:56:39 batch 05 [3/24] Osteophloem platyspermum: OK 270s id=osteophloem_platyspermum
03:59:45 batch 05 [4/24] Virola calophylla: OK 185s id=virola_calophylla
04:03:56 batch 05 [5/24] Virola calophylloidea: OK 252s id=virola_calophylloidea
04:06:40 batch 05 [6/24] Virola carinata: OK 164s id=virola_carinata
04:12:32 batch 05 [7/24] Virola cuspidata: OK 352s id=virola_cuspidata
04:17:10 batch 05 [8/24] Virola divergens: OK 278s id=virola_divergens
04:19:27 batch 05 [9/24] Virola melinonii: OK 138s id=virola_melinonii
04:22:04 batch 05 [10/24] Virola multinervia: OK 157s id=virola_multinervia
04:24:45 batch 05 [11/24] Virola pavonis: OK 161s id=virola_pavonis
04:27:30 batch 05 [12/24] Virola peruviana: OK 165s id=virola_peruviana
04:30:23 batch 05 [13/24] Virola rufula: OK 173s id=virola_rufula
04:33:05 batch 05 [14/24] Virola sebifera: OK 162s id=virola_sebifera
04:36:00 batch 05 [15/24] Virola theiodora: OK 175s id=virola_theiodora
04:38:45 batch 05 [16/24] Virola venosa: OK 165s id=virola_venosa
04:41:25 batch 05 [17/24] Testulea gabonensis: OK 160s id=testulea_gabonensis
04:44:39 batch 05 [18/24] Arundo donax: OK 195s id=arundo_donax
04:48:08 batch 05 [19/24] Phalaris aquatica: OK 209s id=phalaris_aquatica
04:50:51 batch 05 [20/24] Phalaris arundinacea: OK 163s id=phalaris_arundinacea
04:53:03 batch 05 [21/24] Phalaris brachystachys: OK 132s id=phalaris_brachystachys
04:55:53 batch 05 [22/24] Phalaris coerulescens: OK 170s id=phalaris_coerulescens
04:59:07 batch 05 [23/24] Phragmites australis: OK 193s id=phragmites_australis
05:02:06 batch 05 [24/24] Psychotria carthagenensis: OK 179s id=psychotria_carthagenensis
05:02:06 batch 05: COMPLETE 24 -> out_05.js
05:02:06 batch 07: 24 items, 0 done, 24 todo
05:04:41 batch 07 [1/24] Cylindropuntia spinosior: OK 155s id=cylindropuntia_spinosior
05:06:56 batch 07 [2/24] Echinopsis lageniformis: OK 135s id=echinopsis_lageniformis
05:09:21 batch 07 [3/24] Echinopsis macrogona: OK 145s id=echinopsis_macrogona
05:13:42 batch 07 [4/24] Echinopsis pachanoi: OK 261s id=echinopsis_pachanoi
05:18:00 batch 07 [5/24] Echinopsis spachiana: OK 258s id=echinopsis_spachiana
05:19:57 batch 07 [6/24] Echinopsis tacaquirensis: OK 117s id=echinopsis_tacaquirensis
05:22:50 batch 07 [7/24] Echinopsis terscheckii: OK 173s id=echinopsis_terscheckii
05:25:27 batch 07 [8/24] Echinopsis valida: OK 158s id=echinopsis_valida
05:28:15 batch 07 [9/24] Opuntia acanthocarpa: OK 168s id=opuntia_acanthocarpa
