01:24:59 START 5 batches, 120 plants, model=qwen/qwen3.8-27b, notink=True, maxtok=8000
01:24:59 batch 02: 24 items, 0 done, 24 todo
01:28:30 batch 02 [1/24] Vachellia cornigera: OK 211s id=vachellia_cornigera
01:33:06 batch 02 [2/24] Acacia cultriformis: OK 275s id=acacia_cultriformis
01:36:44 batch 02 [3/24] Acacia cuthbertsonii: OK 218s id=acacia_cuthbertsonii
01:40:12 batch 02 [4/24] Acacia decurrens: OK 209s id=acacia_decurrens
01:43:20 batch 02 [5/24] Acacia delibrata: OK 187s id=acacia_delibrata
01:56:45 batch 02 [6/24] Acacia falcata: OK 805s id=acacia_falcata
02:01:16 batch 02 [7/24] Vachellia farnesiana: OK 271s id=vachellia_farnesiana
02:04:49 batch 02 [8/24] Acacia floribunda: OK 213s id=acacia_floribunda
02:07:37 batch 02 [9/24] Acacia georginae: OK 167s id=acacia_georginae
02:10:42 batch 02 [10/24] Vachellia horrida: OK 185s id=vachellia_horrida
02:13:58 batch 02 [11/24] Acacia implexa: OK 197s id=acacia_implexa
02:17:21 batch 02 [12/24] Mimosa jurema: OK 202s id=mimosa_jurema
02:21:04 batch 02 [13/24] Senegalia laeta: OK 223s id=senegalia_laeta
02:25:07 batch 02 [14/24] Acacia longifolia: OK 243s id=acacia_longifolia
02:29:23 batch 02 [15/24] Acacia sophorae: OK 256s id=acacia_sophorae
02:32:59 batch 02 [16/24] Acacia macradenia: OK 216s id=acacia_macradenia
02:36:11 batch 02 [17/24] Acacia maidenii: OK 192s id=acacia_maidenii
02:38:36 batch 02 [18/24] Acacia mangium: OK 145s id=acacia_mangium
02:41:24 batch 02 [19/24] Acacia melanoxylon: OK 169s id=acacia_melanoxylon
02:43:54 batch 02 [20/24] Senegalia mellifera: OK 150s id=senegalia_mellifera
02:46:42 batch 02 [21/24] Vachellia nilotica: OK 169s id=vachellia_nilotica
02:49:08 batch 02 [22/24] Acacia neurophylla: OK 146s id=acacia_neurophylla
02:52:12 batch 02 [23/24] Acacia obtusifolia: OK 183s id=acacia_obtusifolia
02:54:24 batch 02 [24/24] Vachellia oerfota: OK 132s id=vachellia_oerfota
02:54:24 batch 02: COMPLETE 24 -> out_02.js
02:54:24 batch 04: 24 items, 0 done, 24 todo
02:56:31 batch 04 [1/24] Acacia verticillata: OK 127s id=acacia_verticillata
02:59:11 batch 04 [2/24] Pseudalbizzia inundata: OK 160s id=pseudalbizzia_inundata
03:01:38 batch 04 [3/24] Anadenanthera colubrina: OK 147s id=anadenanthera_colubrina
03:04:02 batch 04 [4/24] Anadenanthera colubrina var: OK 143s id=anadenanthera_colubrina
03:09:40 batch 04 [5/24] Desmanthus illinoensis: OK 338s id=desmanthus_illinoensis
03:12:04 batch 04 [6/24] Desmanthus leptolobus: OK 144s id=desmanthus_leptolobus
03:14:58 batch 04 [7/24] Desmodium caudatum: OK 174s id=desmodium_caudatum
03:17:32 batch 04 [8/24] Desmodium racemosum: OK 154s id=desmodium_racemosum
03:20:12 batch 04 [9/24] Desmodium triflorum: OK 160s id=desmodium_triflorum
03:22:27 batch 04 [10/24] Lespedeza capitata: OK 135s id=lespedeza_capitata
03:25:02 batch 04 [11/24] Lespedeza bicolor: OK 155s id=lespedeza_bicolor
03:27:41 batch 04 [12/24] Lespedeza bicolor var: OK 159s id=lespedeza_bicolor
03:30:05 batch 04 [13/24] Mimosa ophthalmocentra: OK 145s id=mimosa_ophthalmocentra
03:35:19 batch 04 [14/24] Mimosa scabrella: OK 313s id=mimosa_scabrella
